dataset,experiment,representation,clustering_method,seed_count,sample_size,silhouette_mean,calinski_harabasz_mean,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,embedding_time_s_mean,clustering_time_s_mean,peak_memory_mb_mean,silhouette_std,calinski_harabasz_std,davies_bouldin_std,n_clusters_std,noise_ratio_std,embedding_time_s_std,clustering_time_s_std,peak_memory_mb_std
scenario-1,optimal,tfidf,hdbscan,5,50000,0.9283946514129638,15756.32359354114,0.3950300819060596,366.8,0.10402800000000001,2.4526,63.274,92.0564,0.0026133626538336723,1574.885701958527,0.006742833467342645,5.449770637375483,0.004500013333313585,1.3428835764875524,19.717272250491444,40.77112039544658
scenario-1,optimal,tfidf,dbscan,5,50000,0.9244371056556702,79365.51000612557,0.22003198440864474,567.4,0.086284,2.4526,7.702,92.0564,0.0032956843513935207,26489.42183374982,0.010703161023348244,141.25968993311574,0.009372357227506857,1.3428835764875524,1.4594259145294084,40.77112039544658
scenario-1,optimal,sbert,hdbscan,5,50000,0.9220574617385864,3070.882391132011,3.4466011153736984,182.2,0.285468,47.0164,88.1196,296.627,0.004065713774376431,486.0116303218495,0.4696357197382122,30.638211436048287,0.011899433599965988,2.9160087105494057,28.354501993510667,0.2882282081962182
scenario-1,optimal,word2vec,hdbscan,5,50000,0.9155588030815125,5177.310907525714,2.699086123661292,129.0,0.23578800000000003,6.256,75.6088,77.2634,0.004460230465974914,441.6271901591051,0.4383515473285269,2.1213203435596455,0.00353577714229842,5.654703484710758,19.987993313486975,35.67903896968078
scenario-1,optimal,word2vec,dbscan,5,50000,0.8648333787918091,6437.963175808189,0.46867965220492175,635.8,0.134652,6.256,9.3886,77.2634,0.07963941955026112,3792.1866778753692,0.1240426037661517,72.90884719977406,0.02482009508442706,5.654703484710758,1.840625382852252,35.67903896968078
scenario-1,optimal,tfidf,agglomerative,5,50000,0.7852674126625061,4908.7045898870465,0.9095245640125356,100.0,0.0,2.4526,66.4086,92.0564,0.005179341237811647,101.09673952902045,0.041150383313093154,0.0,0.0,1.3428835764875524,7.379319636660276,40.77112039544658
scenario-1,optimal,tfidf,kmeans,5,50000,0.782728123664856,5049.778859926133,0.8690501920626563,100.0,0.0,2.4526,5.226999999999999,92.0564,0.004610809257239781,93.29928325873014,0.0288947139347088,0.0,0.0,1.3428835764875524,1.6918435211330864,40.77112039544658
scenario-1,optimal,tfidf,gmm,5,50000,0.7176750421524047,2486.5186926355977,1.417070631003917,100.0,0.0,2.4526,8.2238,92.0564,0.014514455923527663,234.03869898264324,0.07526132871805283,0.0,0.0,1.3428835764875524,4.102879074503659,40.77112039544658
scenario-1,optimal,word2vec,agglomerative,5,50000,0.6371070981025696,1240.588601968833,1.4440942176562612,100.0,0.0,6.2558,68.89739999999999,77.2634,0.006117611542478145,18.905627308479765,0.04960644774081437,0.0,0.0,5.654977648054853,0.8494694226398114,35.67903896968078
scenario-1,optimal,word2vec,gmm,5,50000,0.6319176912307739,948.228969509194,2.204431293186277,100.0,0.0,6.256,8.147,77.2634,0.00894045586347016,5.4267292774660305,0.16233784455794723,0.0,0.0,5.654703484710758,2.091246996411471,35.67903896968078
